#ASCII     1
#SCROLL    0
#LTAT      16.908287
#NROWS     39
#NCOLS     27
#FREQ00    328095872.000000
#CHAN1     45
#CHAN2     45
#CHANINC   1
#LABEL00   ist
#LABEL01   C10-USB-130:C05-USB-130   a
#LABEL02   C10-USB-130:C05-USB-130   p
#LABEL03   C10-USB-130:C03-USB-130   a
#LABEL04   C10-USB-130:C03-USB-130   p
#LABEL05   C10-USB-130:C02-USB-130   a
#LABEL06   C10-USB-130:C02-USB-130   p
#LABEL07   C10-USB-130:C14-USB-130   a
#LABEL08   C10-USB-130:C14-USB-130   p
#LABEL09   C09-USB-130:C10-USB-130   a
#LABEL10   C09-USB-130:C10-USB-130   p
#LABEL11   C04-USB-130:C10-USB-130   a
#LABEL12   C04-USB-130:C10-USB-130   p
#LABEL13   C00-USB-130:C10-USB-130   a
#LABEL14   C00-USB-130:C10-USB-130   p
#LABEL15   C10-USB-130:C13-USB-130   a
#LABEL16   C10-USB-130:C13-USB-130   p
#LABEL17   C10-USB-130:C08-USB-130   a
#LABEL18   C10-USB-130:C08-USB-130   p
#LABEL19   C10-USB-130:C01-USB-130   a
#LABEL20   C10-USB-130:C01-USB-130   p
#LABEL21   C10-USB-130:C11-USB-130   a
#LABEL22   C10-USB-130:C11-USB-130   p
#LABEL23   C10-USB-130:C12-USB-130   a
#LABEL24   C10-USB-130:C12-USB-130   p
#LABEL25   C10-USB-130:C06-USB-130   a
#LABEL26   C10-USB-130:C06-USB-130   p
#End
  22.98332      0.0115   143.3      0.0094   -164.6       0.0157    142.9       0.0159   -111.2       0.0107    -19.3       0.0127     85.7       0.0016    -68.7       0.0150   -169.1       0.0135    -58.3       0.0129     -7.5       0.0089    -80.0       0.0098     45.7       0.0098   -175.6  
  22.98802      0.0136   122.3      0.0113   -146.3       0.0126    147.5       0.0104    -95.7       0.0157    -11.1       0.0146     80.2       0.0020    129.0       0.0148   -148.7       0.0186    -90.2       0.0138    -27.1       0.0144    -54.1       0.0113     52.2       0.0107   -174.5  
  22.99271      0.0131   123.7      0.0108   -131.5       0.0141    145.6       0.0093   -118.3       0.0172    -13.3       0.0127     92.9       0.0007    165.2       0.0145   -155.6       0.0180    -76.5       0.0115    -11.3       0.0146    -81.8       0.0087     39.6       0.0115   -154.3  
  22.99741      0.0104   137.8      0.0113   -141.5       0.0170    142.5       0.0137   -119.0       0.0137    -23.3       0.0120     87.0       0.0043     44.2       0.0174   -154.4       0.0109    -77.9       0.0135     -4.7       0.0170    -99.6       0.0084     25.9       0.0054   -156.6  
  23.00211      0.0062   119.1      0.0086   -155.6       0.0080    158.3       0.0099   -119.3       0.0134      0.6       0.0080     94.4       0.0032    -80.4       0.0119   -147.0       0.0174    -61.1       0.0164    -15.6       0.0142    -97.5       0.0112     55.8       0.0087    177.5  
  23.00680      0.0101   122.4      0.0142    178.7       0.0122    139.2       0.0136   -121.2       0.0171     10.7       0.0109     87.3       0.0007   -114.0       0.0179   -146.6       0.0129    -55.9       0.0164     -6.7       0.0145    -58.6       0.0065     46.5       0.0112    156.7  
  23.01150      0.0119   145.9      0.0109    178.3       0.0124    149.6       0.0156   -114.5       0.0128      0.4       0.0134     65.0       0.0042    -16.8       0.0079   -169.5       0.0180    -82.5       0.0082    -12.6       0.0154    -55.3       0.0096     68.6       0.0137   -164.0  
  23.01620      0.0103   133.0      0.0142   -160.9       0.0095    136.6       0.0140   -112.6       0.0104    -16.2       0.0102     94.8       0.0015    175.8       0.0158   -152.7       0.0183    -65.3       0.0106      0.5       0.0170    -97.2       0.0065     39.6       0.0085   -149.3  
  23.02090      0.0094   118.0      0.0117   -152.2       0.0102    128.9       0.0138   -108.2       0.0182      9.1       0.0083    103.7       0.0010    134.4       0.0112   -133.1       0.0143    -75.5       0.0151     -9.7       0.0169   -100.1       0.0135     31.4       0.0035    178.7  
  23.02559      0.0107   150.9      0.0140   -166.8       0.0122    162.2       0.0158   -112.8       0.0187      9.0       0.0071     94.3       0.0021    -87.0       0.0185   -163.2       0.0195    -87.5       0.0152     -6.4       0.0138    -95.8       0.0094     61.9       0.0076    176.8  
  23.03029      0.0123   167.7      0.0121   -138.2       0.0084    152.0       0.0134   -104.3       0.0117    -20.7       0.0105     90.5       0.0023   -117.7       0.0124   -131.7       0.0119    -40.9       0.0111     -2.2       0.0149    -41.1       0.0141     90.9       0.0136   -176.0  
  23.03498      0.0079   123.8      0.0104   -140.5       0.0107    128.4       0.0182   -120.5       0.0113     -2.6       0.0072     94.5       0.0033    170.5       0.0184   -158.0       0.0148    -95.3       0.0141     -9.6       0.0195    -59.7       0.0061     76.0       0.0112   -154.2  
  23.03968      0.0090   121.4      0.0076   -147.7       0.0165    154.0       0.0126   -132.1       0.0145    -16.6       0.0116     72.1       0.0032    -34.1       0.0111   -118.6       0.0155    -67.1       0.0106     10.6       0.0158    -76.0       0.0065     34.7       0.0068   -161.3  
  23.04438      0.0130   152.9      0.0085   -154.6       0.0087    162.5       0.0141   -124.1       0.0120    -23.8       0.0104     73.4       0.0043     14.7       0.0164   -165.6       0.0091    -90.9       0.0124      3.4       0.0133    -97.1       0.0087     39.9       0.0104   -168.9  
  23.04907      0.0084   120.1      0.0127    174.4       0.0120    126.0       0.0136   -123.5       0.0142      7.3       0.0107     70.7       0.0042    -32.6       0.0155   -134.1       0.0198    -66.4       0.0164    -10.4       0.0129    -71.4       0.0106     49.4       0.0078   -171.0  
  23.05373      0.0086    88.1      0.0135   -162.7       0.0115    146.8       0.0171   -120.6       0.0136     -3.6       0.0112     79.1       0.0015     61.9       0.0115    178.8       0.0167    -44.2       0.0136    -15.6       0.0172    -51.6       0.0073     66.7       0.0101   -163.6  
  23.05847      0.0146   125.1      0.0105    176.3       0.0104    149.8       0.0133   -119.3       0.0140      2.8       0.0121     66.2       0.0004    -14.6       0.0173   -147.1       0.0129    -84.0       0.0114    -16.5       0.0195    -66.5       0.0070     31.8       0.0072   -168.6  
  23.06319      0.0074   140.5      0.0137   -154.6       0.0123    143.7       0.0081   -130.4       0.0086     13.9       0.0096     95.1       0.0039    127.0       0.0117   -156.7       0.0200    -69.7       0.0148     -5.5       0.0165    -87.0       0.0156     49.3       0.0070   -177.1  
  23.06786      0.0113   143.9      0.0091   -157.2       0.0144    144.0       0.0142   -103.8       0.0127      4.9       0.0127     74.0       0.0025     37.1       0.0165   -162.1       0.0105    -87.8       0.0133      3.3       0.0170    -84.6       0.0089     90.2       0.0072   -162.6  
  23.07255      0.0078   137.2      0.0077   -160.9       0.0097    152.1       0.0146   -120.1       0.0157      7.2       0.0146     83.0       0.0018     97.0       0.0098   -169.1       0.0170   -102.0       0.0156    -20.0       0.0160    -63.4       0.0084     49.5       0.0096   -165.4  
  23.07727      0.0095   141.4      0.0063   -167.1       0.0127    131.4       0.0183   -119.4       0.0161     -8.9       0.0111     77.7       0.0013   -152.2       0.0131   -169.5       0.0158    -83.3       0.0143    -14.1       0.0186    -64.9       0.0085     55.6       0.0065    170.5  
  23.08195      0.0115   129.9      0.0072   -176.3       0.0145    140.4       0.0134   -131.4       0.0146      7.4       0.0084     83.4       0.0034    126.9       0.0109   -171.8       0.0149    -67.1   99999.0000      7.0       0.0215    -74.1       0.0093     44.8       0.0089    155.8  
  23.08665      0.0138   129.1      0.0057    178.5       0.0109    142.8       0.0151   -110.0       0.0162      3.5       0.0105    101.0       0.0009    -57.1       0.0153   -149.8       0.0140    -67.8       0.0133     -1.8       0.0110    -77.7       0.0096     70.6       0.0089   -172.4  
  23.09134      0.0110   126.2      0.0109   -170.4       0.0123    134.8       0.0119   -120.8       0.0138     10.3       0.0159     83.3       0.0010     53.9       0.0134   -148.9       0.0137    -74.4       0.0156    -13.3       0.0103    -73.2       0.0082     68.4       0.0114    171.3  
